x,y,z,EASTING,LATITUDE,LONGITUDE,NORTHING,NAME
537059,6726618,183,537059,-29.59,135.38,6726618,Peculiar Knob
556380,6712510,204,556380,-29.72,135.58,6712510,Prominent Hill
