fid,ID,layer,path,z_first,vertex_ind,vertex_par,vertex_p_1,distance,angle,X,Y
"81","80",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"1","0","1",11707.1609250000,292.5000000000,510000.0001500000,6739999.9998000003
"81","80",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"2","0","2",23549.1155660000,315.0000000000,501626.4737200000,6748373.5262000002
"81","80",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"3","1","0",23549.1155660000,270.0000000000,498032.6766300000,6749999.9998000003
"81","80",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"4","1","1",49518.9315140000,270.0000000000,472062.8606800000,6749999.9998000003
"81","80",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"5","2","0",49518.9315140000,225.0000000000,450536.4718000000,6730536.4715000000
"81","80",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"6","2","1",50277.6171370000,225.0000000000,450000.0000500000,6729999.9998000003
"93","92",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"0","0","0",0.0000000000,135.0000000000,445815.4953200000,6814184.5045999996
"93","92",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"1","0","1",5892.8516469000,135.0000000000,449982.3706800000,6810017.6293000001
"95","94",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"0","0","0",0.0000000000,180.0000000000,480000.0001000000,6837986.2740000002
"95","94",SSS_AusLAMP__14559_2_n_HDS_ln_ce8b1b8d_a152_42b1_a026_8e638b003e2c,AusLAMP,-14559.0000000000,"1","0","1",4606.6937648000,180.0000000000,480000.0001000000,6833379.5801999997
"23","22",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"0","0","0",0.0000000000,90.0000000000,454433.4962700000,6699999.9999000002
"23","22",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"1","0","1",4322.5253148000,90.0000000000,458756.0215900000,6699999.9999000002
"23","22",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"2","1","0",4322.5253148000,45.0000000000,472877.9574100000,6702877.9572000001
"23","22",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"3","1","1",16581.7472230000,45.0000000000,481546.5363500000,6711546.5361000001
"23","22",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"4","2","0",16581.7472230000,0.0000000000,490000.0002000000,6735115.9148000004
"23","22",SSS_AusLAMP__148685_3_n_HDS_ln_256d9dca_a641_4786_8512_1c1613fe5c23,AusLAMP,-148685.0000000000,"5","2","1",33880.0658360000,0.0000000000,490000.0002000000,6752414.2334000003
